family,repository,commit,literal_raw_path,class,tree_hash,scan_hash,spdx,license_path,license_sha256,security_disposition,legal_disposition,sdk_compatibility_disposition,maintenance_owner,phase,zero_code_graph_proof,cord_destination_path,external_repo_identity,external_head,external_status_sha256,external_modified
runtimes,https://github.com/paseo-network/runtimes.git,ac99ed6c1122b2d868595bcbf797bdd8acaf2928,raw/blockchain/2026-07-09-paseo-runtime-scripts.md,reference-only,ca911ef084b6982d428319dc9feeb28569580767,899429ab3b0507b740931bbd943171e3eddc9599914c342d2cedf6dde84a6960,reference-only; repository license recorded,LICENSE,d62f065830aa3739cc031156b9690805c7b2e811b4a178c8b4acd8725d561c94,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references scripts/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paseo-network/runtimes.git,ac99ed6c1122b2d868595bcbf797bdd8acaf2928,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
runtimes,https://github.com/paseo-network/runtimes.git,ac99ed6c1122b2d868595bcbf797bdd8acaf2928,raw/blockchain/2026-07-09-paseo-runtimes.md,reference-only,ca911ef084b6982d428319dc9feeb28569580767,e162ff2df007880c5190ff23c20ee4d796c667e662e69759570b57ecf206b72d,reference-only; repository license recorded,LICENSE,d62f065830aa3739cc031156b9690805c7b2e811b4a178c8b4acd8725d561c94,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paseo-network/runtimes.git,ac99ed6c1122b2d868595bcbf797bdd8acaf2928,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
runtimes,https://github.com/polkadot-fellows/runtimes.git,477689fddba4475eca82ccf11edd339a09140aa3,raw/blockchain/2026-07-10-fellowship-runtime-upgrade-guide.md,reference-only,29bae844c6b69c81bb9654d4c4c8df331bc62027,01782011c42119e9af693d327d9d48860ec9c318cda4a1c931545d5d10733229,reference-only; repository license recorded,LICENSE,d62f065830aa3739cc031156b9690805c7b2e811b4a178c8b4acd8725d561c94,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references docs/runtime-upgrade-guide.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/polkadot-fellows/runtimes.git,477689fddba4475eca82ccf11edd339a09140aa3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
runtimes,https://github.com/polkadot-fellows/runtimes.git,477689fddba4475eca82ccf11edd339a09140aa3,raw/blockchain/2026-07-10-fellowship-runtime-weight-generation.md,reference-only,29bae844c6b69c81bb9654d4c4c8df331bc62027,ac16b791c4b134ef69f00e77df858b2187808f4326f4fd8cb13b090961605c22,reference-only; repository license recorded,LICENSE,d62f065830aa3739cc031156b9690805c7b2e811b4a178c8b4acd8725d561c94,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references docs/weight-generation.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/polkadot-fellows/runtimes.git,477689fddba4475eca82ccf11edd339a09140aa3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
runtimes,https://github.com/polkadot-fellows/runtimes.git,477689fddba4475eca82ccf11edd339a09140aa3,raw/blockchain/2026-07-10-fellowship-runtimes.md,reference-only,29bae844c6b69c81bb9654d4c4c8df331bc62027,648dd75ccf53a1ea12267673f532aaae8ea8d73e470585c90e8f5c125bdfd6a8,reference-only; repository license recorded,LICENSE,d62f065830aa3739cc031156b9690805c7b2e811b4a178c8b4acd8725d561c94,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/polkadot-fellows/runtimes.git,477689fddba4475eca82ccf11edd339a09140aa3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
verifiable,https://github.com/paritytech/verifiable.git,1f9f67524acce0d9c46dbbb566f84ce52757b114,raw/cryptography/2026-06-30-verifiable.md,reference-only,9278fc005ecc6f8e89dd3324c8ae0f8fe54e7295,7e7126f43f1b9002057d07011ed6af0d4e39d4836ffc19ac02e68b852ef2105e,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/verifiable.git,1f9f67524acce0d9c46dbbb566f84ce52757b114,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
bcts,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,raw/cryptography/2026-07-01-bcts-dcbor.md,reference-only,af56cf5e99f632aaaa8d94e9037395558be0b406,dcec6ed4a6ec20c935f9ef82b2364e2c0e65a32f57601463634f19995bf9ded1,reference-only; repository license recorded,LICENSE,4bdac1723c0ba019d3c65cd463d3c1234f5f815c7c519afeea11827d476718cc,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references packages/dcbor/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
bcts,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,raw/cryptography/2026-07-01-bcts-gordian-envelope.md,reference-only,af56cf5e99f632aaaa8d94e9037395558be0b406,af434ddee98a47328790e4083b20e0f93324214b9435810fd9bea55ff69e253b,reference-only; repository license recorded,LICENSE,4bdac1723c0ba019d3c65cd463d3c1234f5f815c7c519afeea11827d476718cc,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references packages/envelope/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
bcts,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,raw/cryptography/2026-07-01-bcts-sskr.md,reference-only,af56cf5e99f632aaaa8d94e9037395558be0b406,5f895cd699003b362dec2c57ef5d7356fc26b479978ed228fed2daf58517c398,reference-only; repository license recorded,LICENSE,4bdac1723c0ba019d3c65cd463d3c1234f5f815c7c519afeea11827d476718cc,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references packages/sskr/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
bcts,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,raw/cryptography/2026-07-01-bcts-uniform-resources.md,reference-only,af56cf5e99f632aaaa8d94e9037395558be0b406,338eea25baaf4a28e08e96697bfdd23172c3be6f95e436ea6adde4d3cf4001d6,reference-only; repository license recorded,LICENSE,4bdac1723c0ba019d3c65cd463d3c1234f5f815c7c519afeea11827d476718cc,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references packages/uniform-resources/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
bcts,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,raw/cryptography/2026-07-01-bcts-xid.md,reference-only,af56cf5e99f632aaaa8d94e9037395558be0b406,9103d7a39c4a946d240ef5d258f39dc975d864ecd2bcad5aa5a884e22de46ac7,reference-only; repository license recorded,LICENSE,4bdac1723c0ba019d3c65cd463d3c1234f5f815c7c519afeea11827d476718cc,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references packages/xid/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
bcts,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,raw/cryptography/2026-07-01-bcts.md,reference-only,af56cf5e99f632aaaa8d94e9037395558be0b406,69f94396792381d00d0dae69aeed19e7964e321469c443b9ae0b70211d75afc3,reference-only; repository license recorded,LICENSE,4bdac1723c0ba019d3c65cd463d3c1234f5f815c7c519afeea11827d476718cc,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/bcts.git,42b792571b335d447f3b20ba553a4f291c82e55d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
verifiablejs,https://github.com/paritytech/verifiablejs.git,eee3994d025f248ee7fd7c491839a3556277a4da,raw/cryptography/2026-07-07-verifiable-js-package.md,reference-only,2d3005b1c0608a202155fd0d7a46db5b9c30252f,2b5d724114ae23f80b76e100efb4bcdbc7d9052ab5ab4c61afb64309d75d6441,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references packages/verifiablejs/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/verifiablejs.git,eee3994d025f248ee7fd7c491839a3556277a4da,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
verifiablejs,https://github.com/paritytech/verifiablejs.git,eee3994d025f248ee7fd7c491839a3556277a4da,raw/cryptography/2026-07-07-verifiable-js.md,reference-only,2d3005b1c0608a202155fd0d7a46db5b9c30252f,6a2f3bc8ca865a5c5420af6f7f57516509589d0cf1de3625b3e2d4b1774acb23,not-applicable,not-present,not-present,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/verifiablejs.git,eee3994d025f248ee7fd7c491839a3556277a4da,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
polkadot-apps,https://github.com/paritytech/polkadot-apps.git,e8f7847ccd562650f996252a181abdf5f954a843,raw/decentralized-web/2026-05-06-polkadot-apps.md,reference-only,e563aa3eafa7ec0ad5cdc04126841d47fa0c5c8a,37485b4406f75bd708aeeea52e43c39c560ef836efa1c1454d8c950f2dace5a0,reference-only; repository license recorded,LICENSE,c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/polkadot-apps.git,e8f7847ccd562650f996252a181abdf5f954a843,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dotli-starter,https://github.com/paritytech/dotli-starter.git,da06591bf7aeb5769f369db71a1d03e804e2b1fa,raw/decentralized-web/2026-06-10-dotli-starter.md,reference-only,edcaa40b4b52320829c067259ec910fcb7e784bc,ed737510c0fba8ed0a6c453b13299626e551d3a1441b628c8d4eb1772d209ad6,reference-only; repository license recorded,LICENSE,04b1d6125acb9b8c4dfecfe56eb914abb378b04e33d309c90b069278b13954e2,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/dotli-starter.git,da06591bf7aeb5769f369db71a1d03e804e2b1fa,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
localdot-community,https://github.com/paritytech/localdot-community.git,79b7d9bc2aaf9e7ecbd60c7f6ddd31b76e8c0978,raw/decentralized-web/2026-06-11-localdot-community.md,reference-only,0fa36343484f6c5f664ad0f32fa1e3fac349f99d,1f90e36be207f27f59303c990d3417cf8527a324f9aa17ea62efd7592750b5ad,reference-only; repository license recorded,LICENSE,eb1183455a9bbed466e52b50c263226ce6601e5655de83cea302695463735282,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/localdot-community.git,79b7d9bc2aaf9e7ecbd60c7f6ddd31b76e8c0978,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dotns,https://github.com/paritytech/dotns.git,05a91f7f3c8f1c2c3d2d4d333d77d9f64892bc0d,raw/decentralized-web/2026-06-12-dotns.md,reference-only,9866cccb3e12f99d75383ccfba76d7f528673c9a,5db58a9bc560947d8b00545783eb759f77baf4f5cdf7609e364483ea2ec9e2a7,reference-only; repository license recorded,LICENSE,51913408bcdf24cd0ba61b4d0ce183e1abc42968001477d44a2a180624eb521f,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/dotns.git,05a91f7f3c8f1c2c3d2d4d333d77d9f64892bc0d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
playground-app-community,https://github.com/paritytech/playground-app-community.git,92d7e03de68c6eb1cebb24d43a7b32fcb831b289,raw/decentralized-web/2026-06-18-playground-app-community.md,reference-only,c1fc5111ad247daffb825ed84a378fe443c544c6,31381b27c24232cf74c40ab490190a9058f805ad08e45cf4c72faffaf515babe,reference-only; repository license recorded,LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/playground-app-community.git,92d7e03de68c6eb1cebb24d43a7b32fcb831b289,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
polkadot-desktop-community,https://github.com/paritytech/polkadot-desktop-community.git,2c76cb7e53af4ada12b3a6e31901fdc27c0cb4fd,raw/decentralized-web/2026-06-18-polkadot-desktop-community.md,reference-only,e04c2b9f872b80949226afd2b3d9b8a01c1a201e,2e906f37ae3f9018ab05723e2770943cd4d2953895976d19ac698f5be6dc4714,reference-only; repository license recorded,LICENSE,e902615a7bece14ce851fd8a9cce637184de83d04a54a13cd4ccc88631b42b18,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/polkadot-desktop-community.git,2c76cb7e53af4ada12b3a6e31901fdc27c0cb4fd,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
dotns-sdk,https://github.com/paritytech/dotns-sdk.git,ff8199fe1b31c885048fcd0ba2b452315664df89,raw/decentralized-web/2026-06-29-dotns-sdk.md,reference-only,5b917f0169d979276a745af8e4b8b041a8034144,e6d3fed5dc7a74303a7bc3a8045de5bd3c62514bb41d5f7b12cca2cb6dcfc484,reference-only; repository license recorded,LICENSE,51913408bcdf24cd0ba61b4d0ce183e1abc42968001477d44a2a180624eb521f,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/dotns-sdk.git,ff8199fe1b31c885048fcd0ba2b452315664df89,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
browse,https://github.com/paritytech/browse.git,1054df0f0e89f4686c2f8a484a3ed1502ea4e571,raw/decentralized-web/2026-07-09-browse-app.md,reference-only,4f0f18bc055605593b9b3c955d94a6304b72812c,93ff5a8e762f1e60a92f50c7899b193199170d769593a6c1f83103eee348575c,reference-only; repository license recorded,LICENSE,c401dd88d8016f5006d2aff58b51fecd312e5630d10b63fa9a79c517d7f4f225,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references app/README.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/browse.git,1054df0f0e89f4686c2f8a484a3ed1502ea4e571,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
browse,https://github.com/paritytech/browse.git,1054df0f0e89f4686c2f8a484a3ed1502ea4e571,raw/decentralized-web/2026-07-09-browse-one-deployment.md,reference-only,4f0f18bc055605593b9b3c955d94a6304b72812c,276dc0e16051e0e0a3a77c561a71a6a0e0e4c69811b469efd27a8d48533e63ec,reference-only; repository license recorded,LICENSE,c401dd88d8016f5006d2aff58b51fecd312e5630d10b63fa9a79c517d7f4f225,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references docs/one-deployment.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/browse.git,1054df0f0e89f4686c2f8a484a3ed1502ea4e571,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
browse,https://github.com/paritytech/browse.git,1054df0f0e89f4686c2f8a484a3ed1502ea4e571,raw/decentralized-web/2026-07-09-browse-publishing-registry.md,reference-only,4f0f18bc055605593b9b3c955d94a6304b72812c,54d112e3f03725e19cc7f194562d9a82fe443307808e132d44e2b917009e2775,reference-only; repository license recorded,LICENSE,c401dd88d8016f5006d2aff58b51fecd312e5630d10b63fa9a79c517d7f4f225,unaudited reference; native threat review required before semantic adoption,reference-use-only; copying forbidden until a separate legal gate,clean-break native SDK only; no ABI compatibility or client migration,P0-provenance-owner,P0-P7,raw document references docs/publishing-registry.md; no source code enters CORD dependency/build graph,not-applicable-reference-only,https://github.com/paritytech/browse.git,1054df0f0e89f4686c2f8a484a3ed1502ea4e571,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
