id,layer,capability,owner,status,index_or_version,implementation,evidence,disposition,blocker
ORIGIN-PAL-074,pallet,Coretime,Origin,present,74,coretime,origin/base/runtime/src/lib.rs:index-74,retain unless separately classified,
ORIGIN-PAL-099,pallet,XcmPallet,Origin,present,99,pallet_xcm,origin/base/runtime/src/lib.rs:index-99,retain unless separately classified,
ORIGIN-PAL-100,pallet,MessageQueue,Origin,present,100,pallet_message_queue,origin/base/runtime/src/lib.rs:index-100,retain unless separately classified,
ORIGIN-PAL-102,pallet,Token,Origin,present,102,pallet_token,origin/base/runtime/src/lib.rs:index-102,retain unless separately classified,
ORIGIN-PAL-200,pallet,Beefy,Origin,present,200,pallet_beefy,origin/base/runtime/src/lib.rs:index-200,retain unless separately classified,
ORIGIN-PAL-201,pallet,Mmr,Origin,present,201,pallet_mmr,origin/base/runtime/src/lib.rs:index-201,retain unless separately classified,
ORIGIN-PAL-202,pallet,MmrLeaf,Origin,present,202,pallet_beefy_mmr,origin/base/runtime/src/lib.rs:index-202,retain unless separately classified,
ORIGIN-PAL-215,pallet,MetaTx,Origin,present,215,pallet_meta_tx,origin/base/runtime/src/lib.rs:index-215,retain unless separately classified,
ORIGIN-PAL-216,pallet,TxPause,Origin,present,216,pallet_tx_pause,origin/base/runtime/src/lib.rs:index-216,retain unless separately classified,
ORIGIN-PAL-217,pallet,SafeMode,Origin,present,217,pallet_safe_mode,origin/base/runtime/src/lib.rs:index-217,retain unless separately classified,
ORIGIN-PAL-219,pallet,VerifySignature,Origin,present,219,pallet_verify_signature,origin/base/runtime/src/lib.rs:index-219,retain unless separately classified,
ORIGIN-PAL-221,pallet,CoretimeControl,Origin,present,221,pallet_coretime_control,origin/base/runtime/src/lib.rs:index-221,stack-owned para-1006 request replay and receipt envelope; no upstream fork,
ORIGIN-PAL-249,pallet,MultiBlockMigrations,Origin,present,249,pallet_migrations,origin/base/runtime/src/lib.rs:index-249,retain unless separately classified,
ORIGIN-PAL-250,pallet,ParaSudoWrapper,Origin,present,250,paras_sudo_wrapper,origin/base/runtime/src/lib.rs:index-250,retain unless separately classified,
ORIGIN-PAL-255,pallet,Sudo,Origin,present,255,pallet_sudo,origin/base/runtime/src/lib.rs:index-255,retain unless separately classified,
ORBIS-PAL-000,pallet,System,Orbis,present,0,frame_system,origin/orbis/runtime/src/lib.rs:index-0,retain unless separately classified,
ORBIS-PAL-001,pallet,ParachainSystem,Orbis,present,1,cumulus_pallet_parachain_system,origin/orbis/runtime/src/lib.rs:index-1,retain unless separately classified,
ORBIS-PAL-002,pallet,Timestamp,Orbis,present,2,pallet_timestamp,origin/orbis/runtime/src/lib.rs:index-2,retain unless separately classified,
ORBIS-PAL-003,pallet,ParachainInfo,Orbis,present,3,parachain_info,origin/orbis/runtime/src/lib.rs:index-3,retain unless separately classified,
ORBIS-PAL-004,pallet,WeightReclaim,Orbis,present,4,cumulus_pallet_weight_reclaim,origin/orbis/runtime/src/lib.rs:index-4,retain unless separately classified,
ORBIS-PAL-010,pallet,Balances,Orbis,present,10,pallet_balances,origin/orbis/runtime/src/lib.rs:index-10,retain unless separately classified,
ORBIS-PAL-011,pallet,TransactionPayment,Orbis,present,11,pallet_transaction_payment,origin/orbis/runtime/src/lib.rs:index-11,retain unless separately classified,
ORBIS-PAL-012,pallet,Indices,Orbis,present,12,pallet_indices,origin/orbis/runtime/src/lib.rs:index-12,retain unless separately classified,
ORBIS-PAL-013,pallet,SkipFeelessPayment,Orbis,present,13,pallet_skip_feeless_payment,origin/orbis/runtime/src/lib.rs:index-13,retain unless separately classified,
ORBIS-PAL-020,pallet,Authorship,Orbis,present,20,pallet_authorship,origin/orbis/runtime/src/lib.rs:index-20,retain unless separately classified,
ORBIS-PAL-021,pallet,CollatorSelection,Orbis,present,21,pallet_collator_selection,origin/orbis/runtime/src/lib.rs:index-21,retain unless separately classified,
ORBIS-PAL-022,pallet,Session,Orbis,present,22,pallet_session,origin/orbis/runtime/src/lib.rs:index-22,retain unless separately classified,
ORBIS-PAL-023,pallet,Aura,Orbis,present,23,pallet_aura,origin/orbis/runtime/src/lib.rs:index-23,retain unless separately classified,
ORBIS-PAL-024,pallet,AuraExt,Orbis,present,24,cumulus_pallet_aura_ext,origin/orbis/runtime/src/lib.rs:index-24,retain unless separately classified,
ORBIS-PAL-025,pallet,Scheduler,Orbis,present,25,pallet_scheduler,origin/orbis/runtime/src/lib.rs:index-25,retain unless separately classified,
ORBIS-PAL-030,pallet,XcmpQueue,Orbis,present,30,cumulus_pallet_xcmp_queue,origin/orbis/runtime/src/lib.rs:index-30,retain unless separately classified,
ORBIS-PAL-031,pallet,PolkadotXcm,Orbis,present,31,pallet_xcm,origin/orbis/runtime/src/lib.rs:index-31,retain unless separately classified,
ORBIS-PAL-032,pallet,CumulusXcm,Orbis,present,32,cumulus_pallet_xcm,origin/orbis/runtime/src/lib.rs:index-32,retain unless separately classified,
ORBIS-PAL-034,pallet,MessageQueue,Orbis,present,34,pallet_message_queue,origin/orbis/runtime/src/lib.rs:index-34,retain unless separately classified,
ORBIS-PAL-040,pallet,Utility,Orbis,present,40,pallet_utility,origin/orbis/runtime/src/lib.rs:index-40,retain unless separately classified,
ORBIS-PAL-041,pallet,Multisig,Orbis,present,41,pallet_multisig,origin/orbis/runtime/src/lib.rs:index-41,retain unless separately classified,
ORBIS-PAL-042,pallet,Proxy,Orbis,present,42,pallet_proxy,origin/orbis/runtime/src/lib.rs:index-42,retain unless separately classified,
ORBIS-PAL-050,pallet,Broker,Orbis,present,50,pallet_broker,origin/orbis/runtime/src/lib.rs:index-50,retain unless separately classified,
ORBIS-PAL-051,pallet,Token,Orbis,present,51,pallet_orbis_token,origin/orbis/runtime/src/lib.rs:index-51,retain unless separately classified,
ORBIS-PAL-052,pallet,Register,Orbis,present,52,pallet_orbis_register,origin/orbis/runtime/src/lib.rs:index-52,retain unless separately classified,
ORBIS-PAL-053,pallet,Entity,Orbis,present,53,pallet_orbis_entity,origin/orbis/runtime/src/lib.rs:index-53,retain unless separately classified,
ORBIS-PAL-054,pallet,Feeless,Orbis,present,54,pallet_orbis_feeless,origin/orbis/runtime/src/lib.rs:index-54,retain unless separately classified,
ORBIS-PAL-080,pallet,Assets,Orbis,present,80,pallet_assets::<Instance1>,origin/orbis/runtime/src/lib.rs:index-80,retain unless separately classified,
ORBIS-PAL-081,pallet,AssetsFreezer,Orbis,present,81,pallet_assets_freezer::<Instance1>,origin/orbis/runtime/src/lib.rs:index-81,retain unless separately classified,
ORBIS-PAL-082,pallet,AssetsHolder,Orbis,present,82,pallet_assets_holder::<Instance1>,origin/orbis/runtime/src/lib.rs:index-82,retain unless separately classified,
ORBIS-PAL-083,pallet,ForeignAssets,Orbis,present,83,pallet_assets::<Instance2>,origin/orbis/runtime/src/lib.rs:index-83,retain unless separately classified,
ORBIS-PAL-084,pallet,PoolAssets,Orbis,present,84,pallet_assets::<Instance3>,origin/orbis/runtime/src/lib.rs:index-84,retain unless separately classified,
ORBIS-PAL-085,pallet,ForeignAssetsFreezer,Orbis,present,85,pallet_assets_freezer::<Instance2>,origin/orbis/runtime/src/lib.rs:index-85,retain unless separately classified,
ORBIS-PAL-086,pallet,PoolAssetsFreezer,Orbis,present,86,pallet_assets_freezer::<Instance3>,origin/orbis/runtime/src/lib.rs:index-86,retain unless separately classified,
ORBIS-PAL-087,pallet,Uniques,Orbis,present,87,pallet_uniques,origin/orbis/runtime/src/lib.rs:index-87,retain unless separately classified,
ORBIS-PAL-088,pallet,Nfts,Orbis,present,88,pallet_nfts,origin/orbis/runtime/src/lib.rs:index-88,retain unless separately classified,
ORBIS-PAL-089,pallet,AssetRate,Orbis,present,89,pallet_asset_rate,origin/orbis/runtime/src/lib.rs:index-89,retain unless separately classified,
ORBIS-PAL-090,pallet,People,Orbis,present,90,pallet_orbis_people,origin/orbis/runtime/src/lib.rs:index-90,retain unless separately classified,
ORBIS-PAL-091,pallet,ChunksManager,Orbis,present,91,indiv_pallet_chunks_manager,origin/orbis/runtime/src/lib.rs:index-91,retain unless separately classified,
ORBIS-PAL-092,pallet,Members,Orbis,present,92,indiv_pallet_members,origin/orbis/runtime/src/lib.rs:index-92,retain unless separately classified,
ORBIS-PAL-093,pallet,MembersNotifier,Orbis,present,93,indiv_pallet_members_notifier,origin/orbis/runtime/src/lib.rs:index-93,retain unless separately classified,
ORBIS-PAL-094,pallet,PeopleLite,Orbis,present,94,indiv_pallet_people_lite,origin/orbis/runtime/src/lib.rs:index-94,retain unless separately classified,
ORBIS-PAL-095,pallet,Personhood,Orbis,present,95,indiv_pallet_people,origin/orbis/runtime/src/lib.rs:index-95,retain unless separately classified,
ORBIS-PAL-096,pallet,Resources,Orbis,present,96,indiv_pallet_resources,origin/orbis/runtime/src/lib.rs:index-96,retain unless separately classified,
ORBIS-PAL-097,pallet,Score,Orbis,present,97,pallet_orbis_score,origin/orbis/runtime/src/lib.rs:index-97,retain unless separately classified,
ORBIS-PAL-099,pallet,Honour,Orbis,present,99,pallet_orbis_honour,origin/orbis/runtime/src/lib.rs:index-99,retain unless separately classified,
ORBIS-PAL-100,pallet,Revive,Orbis,present,100,pallet_revive,origin/orbis/runtime/src/lib.rs:index-100,retain unless separately classified,
ORBIS-PAL-105,pallet,Attestation,Orbis,present,105,pallet_orbis_attestation,origin/orbis/runtime/src/lib.rs:index-105,native schema and attestation authority; no migrated-domain ABI,
ORBIS-PAL-110,pallet,TransactionStorage,Orbis,present,110,pallet_bulletin_transaction_storage,origin/orbis/runtime/src/lib.rs:index-110,retain unless separately classified,
ORBIS-PAL-111,pallet,HopPromotion,Orbis,present,111,pallet_bulletin_hop_promotion,origin/orbis/runtime/src/lib.rs:index-111,retain unless separately classified,
ORBIS-PAL-116,pallet,Dotns,Orbis,present,116,pallet_orbis_dotns,origin/orbis/runtime/src/lib.rs:index-116,native namespace authority; no migrated-domain ABI,
ORBIS-PAL-120,pallet,StorageProvider,Orbis,present,120,pallet_orbis_storage_provider,origin/orbis/runtime/src/lib.rs:index-120,zero-stake Sudo-authorized provider agreements/challenges/deletion acknowledgement,
ORBIS-PAL-121,pallet,Drive,Orbis,present,121,pallet_orbis_drive,origin/orbis/runtime/src/lib.rs:index-121,native bounded drive metadata,
ORBIS-PAL-122,pallet,S3,Orbis,present,122,pallet_orbis_s3,origin/orbis/runtime/src/lib.rs:index-122,native bounded bucket/object metadata,
ORBIS-PAL-200,pallet,AssetConversion,Orbis,present,200,pallet_asset_conversion,origin/orbis/runtime/src/lib.rs:index-200,retain unless separately classified,
ORBIS-PAL-201,pallet,AssetTxPayment,Orbis,present,201,pallet_asset_conversion_tx_payment,origin/orbis/runtime/src/lib.rs:index-201,retain unless separately classified,
ORBIS-PAL-215,pallet,MetaTx,Orbis,present,215,pallet_meta_tx,origin/orbis/runtime/src/lib.rs:index-215,retain unless separately classified,
ORBIS-PAL-216,pallet,TxPause,Orbis,present,216,pallet_tx_pause,origin/orbis/runtime/src/lib.rs:index-216,retain unless separately classified,
ORBIS-PAL-217,pallet,SafeMode,Orbis,present,217,pallet_safe_mode,origin/orbis/runtime/src/lib.rs:index-217,retain unless separately classified,
ORBIS-PAL-219,pallet,VerifySignature,Orbis,present,219,pallet_verify_signature,origin/orbis/runtime/src/lib.rs:index-219,retain unless separately classified,
ORBIS-PAL-221,pallet,CoretimeControl,Orbis,present,221,pallet_coretime_control,origin/orbis/runtime/src/lib.rs:index-221,monotonic Broker request IDs and finalized Origin receipts; no bare Coretime control XCM,
ORBIS-PAL-249,pallet,MultiBlockMigrations,Orbis,present,249,pallet_migrations,origin/orbis/runtime/src/lib.rs:index-249,retain unless separately classified,
ORBIS-PAL-255,pallet,Sudo,Orbis,present,255,pallet_sudo,origin/orbis/runtime/src/lib.rs:index-255,retain unless separately classified,
ORIGIN-API-001,runtime-api,sp_api::Core<Block>,Origin,present,trait,sp_api::Core<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-002,runtime-api,sp_api::Metadata<Block>,Origin,present,trait,sp_api::Metadata<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-003,runtime-api,sp_block_builder::BlockBuilder<Block>,Origin,present,trait,sp_block_builder::BlockBuilder<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-004,runtime-api,sp_transaction_pool::runtime_api::TaggedTransactionQueue<Block>,Origin,present,trait,sp_transaction_pool::runtime_api::TaggedTransactionQueue<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-005,runtime-api,sp_offchain::OffchainWorkerApi<Block>,Origin,present,trait,sp_offchain::OffchainWorkerApi<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-006,runtime-api,polkadot_primitives::runtime_api::ParachainHost<Block>,Origin,present,trait,polkadot_primitives::runtime_api::ParachainHost<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-007,runtime-api,"beefy_primitives::BeefyApi<Block, BeefyId>",Origin,present,trait,"beefy_primitives::BeefyApi<Block, BeefyId>",origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-008,runtime-api,"mmr::MmrApi<Block, Hash, BlockNumber>",Origin,present,trait,"mmr::MmrApi<Block, Hash, BlockNumber>",origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-009,runtime-api,fg_primitives::GrandpaApi<Block>,Origin,present,trait,fg_primitives::GrandpaApi<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-010,runtime-api,babe_primitives::BabeApi<Block>,Origin,present,trait,babe_primitives::BabeApi<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-011,runtime-api,authority_discovery_primitives::AuthorityDiscoveryApi<Block>,Origin,present,trait,authority_discovery_primitives::AuthorityDiscoveryApi<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-012,runtime-api,sp_session::SessionKeys<Block>,Origin,present,trait,sp_session::SessionKeys<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-013,runtime-api,"frame_system_rpc_runtime_api::AccountNonceApi<Block, AccountId, Nonce>",Origin,present,trait,"frame_system_rpc_runtime_api::AccountNonceApi<Block, AccountId, Nonce>",origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-014,runtime-api,"pallet_transaction_payment_rpc_runtime_api::TransactionPaymentCallApi<Block, Balance, RuntimeCall>",Origin,present,trait,"pallet_transaction_payment_rpc_runtime_api::TransactionPaymentCallApi<Block, Balance, RuntimeCall>",origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-015,runtime-api,token_api::TokenOriginRuntimeApi<Block>,Origin,present,trait,token_api::TokenOriginRuntimeApi<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-016,runtime-api,xcm_runtime_apis::fees::XcmPaymentApi<Block>,Origin,present,trait,xcm_runtime_apis::fees::XcmPaymentApi<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-017,runtime-api,"xcm_runtime_apis::dry_run::DryRunApi<Block, RuntimeCall, RuntimeEvent, OriginCaller>",Origin,present,trait,"xcm_runtime_apis::dry_run::DryRunApi<Block, RuntimeCall, RuntimeEvent, OriginCaller>",origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-018,runtime-api,"xcm_runtime_apis::conversions::LocationToAccountApi<Block, AccountId>",Origin,present,trait,"xcm_runtime_apis::conversions::LocationToAccountApi<Block, AccountId>",origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-019,runtime-api,sp_genesis_builder::GenesisBuilder<Block>,Origin,present,trait,sp_genesis_builder::GenesisBuilder<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-020,runtime-api,frame_try_runtime::TryRuntime<Block>,Origin,present,trait,frame_try_runtime::TryRuntime<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORIGIN-API-021,runtime-api,frame_benchmarking::Benchmark<Block>,Origin,present,trait,frame_benchmarking::Benchmark<Block>,origin/base/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-001,runtime-api,"sp_consensus_aura::AuraApi<Block, AuraId>",Orbis,present,trait,"sp_consensus_aura::AuraApi<Block, AuraId>",origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-002,runtime-api,cumulus_primitives_core::RelayParentOffsetApi<Block>,Orbis,present,trait,cumulus_primitives_core::RelayParentOffsetApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-003,runtime-api,cumulus_primitives_core::SchedulingV3EnabledApi<Block>,Orbis,present,trait,cumulus_primitives_core::SchedulingV3EnabledApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-004,runtime-api,cumulus_primitives_core::TargetBlockRate<Block>,Orbis,present,trait,cumulus_primitives_core::TargetBlockRate<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-005,runtime-api,cumulus_primitives_aura::AuraUnincludedSegmentApi<Block>,Orbis,present,trait,cumulus_primitives_aura::AuraUnincludedSegmentApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-006,runtime-api,sp_api::Core<Block>,Orbis,present,trait,sp_api::Core<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-007,runtime-api,sp_api::Metadata<Block>,Orbis,present,trait,sp_api::Metadata<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-008,runtime-api,sp_block_builder::BlockBuilder<Block>,Orbis,present,trait,sp_block_builder::BlockBuilder<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-009,runtime-api,sp_transaction_pool::runtime_api::TaggedTransactionQueue<Block>,Orbis,present,trait,sp_transaction_pool::runtime_api::TaggedTransactionQueue<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-010,runtime-api,sp_offchain::OffchainWorkerApi<Block>,Orbis,present,trait,sp_offchain::OffchainWorkerApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-011,runtime-api,sp_session::SessionKeys<Block>,Orbis,present,trait,sp_session::SessionKeys<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-012,runtime-api,frame_support::view_functions::runtime_api::RuntimeViewFunction<Block>,Orbis,present,trait,frame_support::view_functions::runtime_api::RuntimeViewFunction<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-013,runtime-api,"frame_system_rpc_runtime_api::AccountNonceApi<Block, AccountId, Nonce>",Orbis,present,trait,"frame_system_rpc_runtime_api::AccountNonceApi<Block, AccountId, Nonce>",origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-014,runtime-api,"pallet_transaction_payment_rpc_runtime_api::TransactionPaymentApi<Block, Balance>",Orbis,present,trait,"pallet_transaction_payment_rpc_runtime_api::TransactionPaymentApi<Block, Balance>",origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-015,runtime-api,"pallet_transaction_payment_rpc_runtime_api::TransactionPaymentCallApi<Block, Balance, RuntimeCall>",Orbis,present,trait,"pallet_transaction_payment_rpc_runtime_api::TransactionPaymentCallApi<Block, Balance, RuntimeCall>",origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-016,runtime-api,token_api::TokenOriginHubRuntimeApi<Block>,Orbis,present,trait,token_api::TokenOriginHubRuntimeApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-017,runtime-api,xcm_runtime_apis::fees::XcmPaymentApi<Block>,Orbis,present,trait,xcm_runtime_apis::fees::XcmPaymentApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-018,runtime-api,"xcm_runtime_apis::dry_run::DryRunApi<Block, RuntimeCall, RuntimeEvent, OriginCaller>",Orbis,present,trait,"xcm_runtime_apis::dry_run::DryRunApi<Block, RuntimeCall, RuntimeEvent, OriginCaller>",origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-019,runtime-api,"xcm_runtime_apis::conversions::LocationToAccountApi<Block, AccountId>",Orbis,present,trait,"xcm_runtime_apis::conversions::LocationToAccountApi<Block, AccountId>",origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-020,runtime-api,xcm_runtime_apis::trusted_query::TrustedQueryApi<Block>,Orbis,present,trait,xcm_runtime_apis::trusted_query::TrustedQueryApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-021,runtime-api,xcm_runtime_apis::authorized_aliases::AuthorizedAliasersApi<Block>,Orbis,present,trait,xcm_runtime_apis::authorized_aliases::AuthorizedAliasersApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-022,runtime-api,cumulus_primitives_core::CollectCollationInfo<Block>,Orbis,present,trait,cumulus_primitives_core::CollectCollationInfo<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-023,runtime-api,sp_transaction_storage_proof::runtime_api::TransactionStorageApi<Block>,Orbis,present,trait,sp_transaction_storage_proof::runtime_api::TransactionStorageApi<Block>,origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
ORBIS-API-024,runtime-api,"sp_hop::HopRuntimeApi<Block, AccountId>",Orbis,present,trait,"sp_hop::HopRuntimeApi<Block, AccountId>",origin/orbis/runtime/src/lib.rs,retain and snapshot metadata,
